TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
00M,Deamidation,3.465,5C,Lumab,13167,39360
03M,Deamidation,3.465,5C,Lumab,13169,39360
00M,Deamidation,3.465,5C,Lumab,12768,39346
00M,Deamidation,3.465,5C,Lumab,13662,39352
03M,Deamidation,3.465,5C,Lumab,13665,39352
06M,Deamidation,3.6750000000000003,5C,Lumab,13667,39352
09M,Deamidation,3.465,5C,Lumab,13670,39352
12M,Deamidation,4.095,5C,Lumab,13673,39352
12M,Deamidation,,5C,Lumab,12238,39408
18M,Deamidation,3.9899999999999998,5C,Lumab,13677,39352
00M,Deamidation,3.465,5C,Lumab,13682,39404
03M,Deamidation,3.465,5C,Lumab,13685,39404
06M,Deamidation,3.465,5C,Lumab,13688,39404
09M,Deamidation,3.8850000000000002,5C,Lumab,13691,39404
00M,Deamidation,3.465,5C,Lumab,13694,39408
00M,Deamidation,,5C,Lumab,13470,394777
03M,Deamidation,3.465,25_60,Lumab,12091,39289
03M,Deamidation,3.465,5C,Lumab,12093,39289
06M,Deamidation,3.465,25_60,Lumab,12096,39289
06M,Deamidation,3.465,5C,Lumab,12099,39289
09M,Deamidation,3.465,5C,Lumab,12103,39289
12M,Deamidation,4.305,5C,Lumab,12105,39289
18M,Deamidation,4.620000000000001,5C,Lumab,12109,39289
24M,Deamidation,5.775,5C,Lumab,12112,39289
24M,Deamidation,4.9135551171000005,5C,Lumab,11656,39346
24M,Deamidation,4.4885549478,5C,Lumab,11659,39347
12M,Deamidation,4.37276143605,5C,Lumab,12240,39408
00M,Deamidation,3.465,5C,Lumab,12087,39289
06M,Deamidation,3.5974590729,5C,Lumab,11241,424879
12M,Deamidation,3.3120457345500003,5C,Lumab,12179,39404
03M,Deamidation,,5C,Lumab,12971,39465
00M,Deamidation,3.465,5C,Lumab,12972,39351
03M,Deamidation,3.465,5C,Lumab,12975,39351
06M,Deamidation,3.465,5C,Lumab,12830,39346
06M,Deamidation,3.465,5C,Lumab,12978,39351
09M,Deamidation,3.57,5C,Lumab,12982,39351
12M,Deamidation,3.57,5C,Lumab,12984,39351
18M,Deamidation,4.9350000000000005,5C,Lumab,12987,39351
