TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
12,Deamidation,4.41,5C,Lumab,12919,39346
18,Deamidation,4.73,5C,Lumab,12922,39346
0,Deamidation,3.46,5C,Lumab,12926,39347
3,Deamidation,3.46,5C,Lumab,12928,39347
6,Deamidation,3.46,5C,Lumab,12931,39347
36,Deamidation,6.69,5C,Lumab,13146,42466
9,Deamidation,3.46,5C,Lumab,12934,39347
12,Deamidation,3.88,5C,Lumab,12937,39347
18,Deamidation,5.08,5C,Lumab,13172,39362
18,Deamidation,4.63,5C,Lumab,13185,39360
18,Deamidation,4.83,5C,Lumab,12940,39347
9,Deamidation,4.11,5C,Lumab,13857,42487-k
12,Deamidation,4.23,5C,Lumab,71133,39465
3,Deamidation,4.76,5C,Lumab,87394,39511
36,Deamidation,7.25,5C,Lumab,87397,39346
36,Deamidation,5.29,5C,Lumab,87401,39347
13,Deamidation,4.83,5C,Lumab,202189,39499/2
0,Deamidation,2.62,5C,Lumab,185589,42355
3,Deamidation,4.41,5C,Lumab,185592,42355
6,Deamidation,3.67,5C,Lumab,185595,42355
9,Deamidation,4.73,5C,Lumab,185598,42355
12,Deamidation,4.62,5C,Lumab,185601,42355
18,Deamidation,4.62,5C,Lumab,185604,42355
24,Deamidation,5.15,5C,Lumab,185607,42355
30,Deamidation,6.09,5C,Lumab,185610,42355
36,Deamidation,5.99,5C,Lumab,185613,42355
36,Deamidation,5.82,5C,Lumab,10945,39289
18,Deamidation,3.99,5C,Lumab,13204,39365
0,Deamidation,3.57,5C,Lumab,26334,39465
0,Deamidation,3.46,5C,Lumab,26338,39445
0,Deamidation,3.46,5C,Lumab,26342,39365
3,Deamidation,3.46,5C,Lumab,26344,39365
6,Deamidation,3.57,5C,Lumab,26347,39365
9,Deamidation,3.46,5C,Lumab,26350,39365
12,Deamidation,4.62,5C,Lumab,26353,39365
0,Deamidation,3.46,5C,Lumab,26475,42485
9,Deamidation,3.46,5C,Lumab,26483,42485
12,Deamidation,3.46,5C,Lumab,26486,42485
18,Deamidation,4.51,5C,Lumab,26490,42485
0,Deamidation,3.46,5C,Lumab,26492,42483
3,Deamidation,3.46,5C,Lumab,26495,42483
6,Deamidation,3.46,5C,Lumab,26498,42483
9,Deamidation,4.3,5C,Lumab,26501,42483
12,Deamidation,3.78,5C,Lumab,26504,42483
18,Deamidation,4.09,5C,Lumab,26507,42483
24,Deamidation,5.46,5C,Lumab,26510,42483
0,Deamidation,3.46,5C,Lumab,26516,42466
3,Deamidation,3.88,5C,Lumab,26519,42466
6,Deamidation,3.78,5C,Lumab,26522,42466
9,Deamidation,4.62,5C,Lumab,26525,42466
12,Deamidation,4.51,5C,Lumab,26528,42466
18,Deamidation,5.57,5C,Lumab,26531,42466
24,Deamidation,6.93,5C,Lumab,26534,42466
30,Deamidation,6.62,5C,Lumab,26537,42466
18,Deamidation,4.37,5C,Lumab,40379,39404
18,Deamidation,4.96,5C,Lumab,40382,39408
30,Deamidation,5.51,5C,Lumab,42495,39352
4,Deamidation,3.51,5C,Lumab,86304,39499/2
31,Deamidation,4.91,5C,Lumab,86305,42485
34,Deamidation,5.37,5C,Lumab,86306,39351
37,Deamidation,6.2,5C,Lumab,86307,42483
36,Deamidation,7.35,5C,Lumab,97699,39351
36,Deamidation,6.38,5C,Lumab,97702,39352
6,Deamidation,3.23,5C,Lumab,97375,39499/2
24,Deamidation,4.68,5C,Lumab,177177,39445
3,Deamidation,3.76,5C,Lumab,176156,39551
3,Deamidation,3.15,5C,Lumab,176157,39557
4,Deamidation,3.78,5C,Lumab,198812,39551
0,Deamidation,3.46,5C,Lumab,198814,39551
0,Deamidation,3.46,5C,Lumab,198817,39557
0,Deamidation,3.67,5C,Lumab,286067,39590
6,Deamidation,6.41,5C,Lumab,286068,39590
6,Deamidation,6.93,5C,Lumab,286068,39590
0,Deamidation,4.94,5C,Lumab,289410,39569A
9,Deamidation,7.5,5C,Lumab,289411,39569A
9,Deamidation,5.02,5C,Lumab,22941,39445
6,Deamidation,4.53,5C,Lumab,22943,39465
0,Deamidation,3.46,5C,Lumab,24563,39362
3,Deamidation,3.46,5C,Lumab,24566,39362
6,Deamidation,3.88,5C,Lumab,24569,39362
9,Deamidation,4.2,5C,Lumab,24572,39362
12,Deamidation,4.62,5C,Lumab,24578,39362
18,Deamidation,4.71,5C,Lumab,82036,42487-k
12,Deamidation,4.78,5C,Lumab,171269,39499/2
36,Deamidation,5.48,5C,Lumab,176613,39360
36,Deamidation,4.19,5C,Lumab,176619,39365
18,Deamidation,5.46,5C,Lumab,286069,39511
24,Deamidation,4.47,5C,Lumab,154843,42487-k
18,Deamidation,5.08,5C,Lumab,251852,39499/2
30,Deamidation,5.01,5C,Lumab,262167,39445
