SAMPLE_NUMBER,Assay Date,Compartment Temp,Reagent-A ID,Reagent-A ID Exp Date,Reagent-B Exp Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
258566,12/20/2011,4.9,11-012-0190,02/07/2012,,,R6269-22P,C100,11-024-0081,11-005-0006,1.0,01/31/2012,0R1860,7.0,5.4540302808000005,028,90.522140309,Stat,ChemistB
266629,01/04/2012,5.2,12-001-0005,04/04/2012,,,R5435-19P,C100,11-024-0081,11-005-0006,1.0,Expired: 01/31/2012,0R1860,7.0,6.021655600800001,030,90.12891648799999,Stat,ChemistB
275818,01/23/2012,4.9,12-001-0005,04/04/2012,,,R6269-22P,C100,11-024-0081,11-005-0006,1.0,01/31/2012,0R1860,8.0,5.530449663400001,027,90.58588600200001,Stat,ChemistB
279381,01/26/2012,,12-001-0040,04/24/2012,02/02/2012,12-001-0029,R5435-19P,C100,11-024-0081,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.9335802437,027,90.112808455,Stat,ChemistB
292518,02/18/2012,5.2,12-003-0044,05/17/2012,,,R5435-19P,C100,12-002-0049,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.8187804215,028,90.221280347,Stat,ChemistO
292562,02/19/2012,,12-003-0044,05/17/2012,,,R5435-19P,C100,12-002-0049,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.851721331,028,90.12623417100001,Stat,ChemistO
299974,03/03/2012,4.9,12-004-0059,04/24/2012,,,R5435-19P,C100,12-002-0049,11-005-0006,1.0,01/31/2013,0R1860,8.0,5.810486135,026,90.161233704,Stat,ChemistO
318388,04/01/2012,5.4,12-004-0059,04/24/2012,,,R5435-19P,C100,12-005-0063,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.800705786,028,90.24454921899999,Stat,ChemistO
326269,04/14/2012,4.9,12-001-0119,07/14/2012,,,R6284-22P,C100,12-005-0063,11-005-0006,1.0,01/31/2013,0R1860,9.0,,027,90.36360551700001,Stat,ChemistO
326833,04/14/2012,,12-001-0119,07/14/2012,,,,C100,12-005-0063,11-005-0006,1.0,01/31/2013,0R1860,,5.627830956,027,90.25415978,Stat,ChemistO
330005,04/19/2012,5.2,12-001-0126,07/19/2012,,,R5435-19P,C100,12-001-0127,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.8417134808,027,90.081149055,Stat,ChemistO
333938,04/27/2012,5.2,12-001-0126,07/19/2012,,,5435-19P,C100,12-007-0007,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.8400342089,034,90.198682333,Stat,ChemistO
334784,05/01/2012,5.2,12-001-0126,07/19/2012,,,R5435-19P,C100,12-007-0007,11-005-0006,1.0,01/31/2013,0R1860,9.0,,029,,Stat,ChemistC
337261,05/02/2012,4.9,12-001-0148,08/02/2012,,,R5435-19P,C100,12-003-0112,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.767215565599999,025,90.33494521799999,Stat,ChemistO
347186,05/08/2012,4.9,12-001-0148,08/02/2012,,,R5435-19P,C100,12-003-0112,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.797862697999999,025,90.29365613200001,Stat,ChemistC
406975,05/17/2012,4.9,12-001-0148,08/02/2012,,,R5435-19P,C100,12-003-0141,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.847622576699999,029,90.14331353600001,Stat,ChemistO
435154,05/25/2012,5.2,12-005-0101,08/24/2012,,,R5435-19P,C100,12-003-0141,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.3917396713,029,90.30225276,Stat,ChemistO
439671,06/04/2012,4.9,12-001-0186,09/03/2012,,,S9043,C100,12-003-0141,11-005-0006,1.0,01/31/2013,0R1860,9.0,,029,,Stat,ChemistO
440028,06/05/2012,4.9,12-001-0186,09/03/2012,,,S9043-05S,C100,12-003-0140,11-005-0006,1.0,01/31/2013,0R1860,9.0,6.0749858793,027,89.520761621,Stat,ChemistO
442829,06/06/2012,4.9,12-001-0186,09/03/2012,,,S9043-05S,C100,12-003-0140,11-005-0006,1.0,01/31/2013,0R1860,9.0,5.9259893586,027,90.16646455899999,Stat,ChemistO
452859,06/23/2012,4.9,12-001-0197,09/23/2012,,,S9043,C100,12-003-0141,11-005-0006,1.0,01/31/2013,0R1860,9.0,6.1682637238,026,89.505411216,Stat,ChemistO
452939,06/24/2012,5.2,12-001-0197,09/23/2012,,,S9043-05S,C100,12-003-0141,11-005-0006,1.0,01/31/2013,0R1860,9.0,6.033905120599999,026,89.72048715700001,Stat,ChemistO
