SAMPLE_NUMBER,Assay_Date,Compartment_Temp,Reagent-A ID,Reagent-A_ID_Exp_Date,Reagent-B_Exp_Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F_Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
1032927,2014-10-28,4.9,14-018-0151,01/20/2015,,,W05548-19T,,14-015-0090,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.0979959917,34.0,94.263362773,Stat,ChemistB
1044294,2014-11-13,4.9,14-017-0079,02/13/2015,,,W05548-19T,,14-017-0056,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.1141196288,37.0,94.17981951600001,Stat,ChemistB
1049406,2014-11-21,5.0,78-030,02/20/2015,,,WO4314 16T,,29-074,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,,362.0,,LIN,ChemistJ
1053562,2014-11-25,5.0,29-087,02/25/2015,,,Y01203 06W,,29-074,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.2575,361.0,93.619,LIN,ChemistJ
1057275,2014-12-03,4.9,14-018-0185,03/03/2015,,,W05548-19T,,14-015-0133,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.0800753135,38.0,94.25583294799999,Stat,ChemistB
1059441,2014-12-09,5.0,14-018-0185,03/03/2015,,,W05548-19T,,14-015-0133,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,1.9876984503,39.0,94.335062676,Stat,ChemistG
1067003,2014-12-18,,14-017-0091,03/16/2015,,,W04128-16T,,14-015-0133,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,1.9918417485,39.0,94.37717431700001,Stat,ChemistB
1078596,2015-01-09,4.9,14-017-0103,04/09/2015,,,W04128-16T,,14-015-0131,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.1206226063,34.0,94.21357373200001,Stat,ChemistB
1079638,2015-01-15,5.0,29-087,02/25/2015,,,T02066,,56-068,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.324,362.0,93.898,LIN,ChemistJ
1096065,2015-02-05,5.0,14-016-0142,05/04/2015,,,W04128-16T,,14-015-0189,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,1.9681317931,43.0,94.440777501,Stat,ChemistL
1096836,2015-02-09,5.0,14-016-0142,05/04/2015,,,W04128-16T,,14-015-0189,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,1.9743583439,43.0,94.442207865,Stat,ChemistB
1096873,2015-02-10,5.0,29-087,02/25/2015,,,T02066-29P,,44-079,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.2835,184.0,93.562,LIN,ChemistH
1110357,2015-03-03,5.2,14-019-0155,06/03/2015,,,W04128-16T,,14-015-0190,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.0103704201,41.0,94.279054951,Stat,ChemistB
1112343,2015-03-04,5.0,36-020,06/02/2015,,,T02066-29P,,56-084,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.2555,184.0,93.2065,LIN,ChemistH
1116673,2015-03-12,5.0,36-020,06/02/2015,,,T04041-19S,,56-084,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.042,184.0,94.4385,LIN,ChemistH
1116827,2015-03-12,5.0,14-017-0103,04/09/2015,,,W04128-16T,,15-002-0023,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,,43.0,94.588097121,Stat,ChemistL
1117760,2015-03-17,4.9,15-003-0025,06/16/2015,,,Y06362-13T,,15-002-0023,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.0175348897,39.0,94.57458452899999,Stat,ChemistL
1131389,2015-04-08,4.9,14-019-0155,06/03/2015,,,Y06362-13T,,14-016-0187,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.1917649786,34.0,94.19256507600001,Stat,ChemistE
1137158,2015-04-20,4.9,15-003-0025,06/16/2015,,,Y06362-13T,,14-016-0196,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.1893790816,38.0,94.04540611799999,Stat,ChemistE
1154674,2015-05-12,5.0,15-003-0025,06/16/2015,,,Y06362-13T,,15-003-0043,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.1272140258000003,41.0,94.20803103700001,Stat,ChemistL
1163360,2015-05-22,5.0,36-020,06/02/2015,,,W07200-07S,,-033,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.43,184.0,93.2145,LIN,ChemistK
1170808,2015-06-01,5.0,15-003-0111,09/01/2015,,,Y06362-13T,,15-002-0105,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.2085486213,42.0,93.875247736,Stat,ChemistG
1171069,2015-05-22,5.0,36-020,06/02/2015,,,W03787-T15,,-033,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.3040000000000003,183.0,93.8485,LIN,ChemistK
1177961,2015-06-15,5.0,-013,07/20/2015,,,T04041-19S,,-028,13-028-0104,1.0,07/01/2015,3-039-0106,13.0,2.031,184.0,94.303,LIN,ChemistK
1194060,2015-07-01,5.2,15-003-0111,09/01/2015,,,Y06362-13T,,15-002-0121,13-028-0104,1.0,Expired: 07/01/2015,3-039-0106,13.0,2.1639039787,28.0,94.04242125299999,Stat,ChemistL
1199344,2015-07-09,4.9,15-003-0111,09/01/2015,,,Y06362-13T,,15-002-0120,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.3461329793,34.0,93.724273794,Stat,ChemistB
1205350,2015-07-17,5.0,0-003,10/17/2015,,,Y04682-13W,,-028,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1285,184.0,94.226,LIN,ChemistH
1206256,2015-07-20,5.0,0-003,10/17/2015,,,Y04682-13W,,0-005,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.062,184.0,93.9565,LIN,ChemistH
1210573,2015-07-23,4.9,15-002-0179,10/23/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1572000536,38.0,94.14603718299999,Stat,ChemistL
1210577,2015-07-23,4.9,15-002-0179,10/23/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,38.0,,Stat,ChemistL
1211070,2015-07-24,5.0,08-005-0575,10/22/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1229981584,43.0,93.981431351,Stat,ChemistL
1212497,2015-07-27,5.0,08-005-0575,10/22/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2583640494,41.0,93.76072192299999,Stat,ChemistL
1212844,2015-07-28,5.0,15-003-0168,10/27/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0503784939,41.0,94.08812149,Stat,ChemistL
1214991,2015-07-29,5.0,15-003-0168,10/27/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0027320182,41.0,94.138705809,Stat,ChemistL
1215479,2015-07-30,4.9,15-002-0179,10/23/2015,,,A02670-10Y,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2228985176,38.0,93.78972545200001,Stat,ChemistL
1215594,2015-07-30,5.0,15-003-0168,10/27/2015,,,Y06362-13T,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,41.0,,Stat,ChemistG
1216606,2015-04-03,4.9,08-005-0575,10/22/2015,,,A02670-10Y,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.6981882061,41.0,93.31213518700001,Stat,ChemistG
1217788,2015-08-04,5.0,08-005-0575,10/22/2015,,,A02670-10Y,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2058289417,41.0,93.957310525,Stat,ChemistG
1220037,2015-08-05,4.9,UED-LBK-1014-0046,11/04/2015,,,A02670-10Y,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2295742155,38.0,93.94893020100001,Stat,ChemistG
1220502,2015-08-06,5.0,UED-LBK-1014-0046,11/04/2015,,,Y06366-13T,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1462028229,41.0,94.36979621399999,Stat,ChemistG
1221477,2015-08-11,5.0,0-003,10/17/2015,,,Y046682-13W,,0-005,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,184.0,,LIN,ChemistK
1221641,2015-08-17,4.9,15-003-0196,11/14/2015,,,A02670-10Y,,UED-LBK-1014-0052,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1184528153,38.0,93.993189451,Stat,ChemistL
1224928,2015-08-13,5.0,0-026,11/13/2015,,,Y046682-13W,,-049,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2715,184.0,93.6765,LIN,ChemistK
1226230,2015-08-17,5.0,15-003-0197,11/14/2015,,,Y06366-13T,,UED-LBK-1014-0053,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0704370641,41.0,94.25179483,Stat,ChemistG
1226691,2015-08-18,5.0,15-003-0197,11/14/2015,,,Y02826-08S,,UED-LBK-1014-0052,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.3165120676,42.0,94.147432417,Stat,ChemistG
1226693,2015-08-18,4.9,15-003-0196,11/14/2015,,,A02670-10Y,,UED-LBK-1014-0052,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,1.9899392692,38.0,94.25445448100001,Stat,ChemistL
1226790,2015-08-18,5.1,15-003-0197,11/14/2015,,,Y06366-13T,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2484778006,39.0,93.82642078299999,Stat,ChemistG
1229725,2015-08-19,5.0,UED-LBK-1014-0063,11/18/2015,,,A02670-10Y,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,39.0,,Stat,ChemistG
1229741,2015-08-19,4.9,UED-LBK-1014-0064,11/18/2015,,,Y06366-13T,,UED-LBK-1014-0052,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,1.8883808044,38.0,93.958505622,Stat,ChemistL
1229805,2015-08-19,5.0,15-003-0196,11/14/2015,,,Y02826-08S,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1943570072,43.0,94.32358077299999,Stat,ChemistG
1231879,2015-08-24,5.0,UED-LBK-1014-0063,11/18/2015,,,A02670-10Y,,15-002-0149,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2372892662,39.0,93.892173074,Stat,ChemistG
1232310,2015-08-24,4.9,UED-LBK-1014-0064,11/18/2015,,,Y02826-08S,,UED-LBK-1014-0052,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0850676272,38.0,94.356320726,Stat,ChemistL
1245219,2015-09-10,5.2,UED-LBK-1014-0063,11/18/2015,,,Y02826-08S,,UED-LBK-1012-0061,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2688590171,29.0,94.05630078,Stat,ChemistG
1260346,2015-10-01,,UED-LBK-1014-0063,11/18/2015,,,Y02826-08S,,UED-LBK-1014-0047,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.3259419933000003,30.0,93.81159993799999,Stat,ChemistB
1264648,2015-10-09,5.0,0-026,11/13/2015,,,Y04682-13W,,0-005,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.262,184.0,93.319,LIN,ChemistK
1267309,2015-10-13,5.0,UED-LBK-1012-0089,01/05/2016,,,Y02826-08S,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,41.0,,Stat,ChemistG
1267311,2015-10-13,5.0,UED-LBK-1012-0090,01/05/2016,,,Y06362-13T,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,43.0,,Stat,ChemistG
1270088,2015-10-14,5.0,UED-LBK-1012-0089,01/05/2016,,,Y02826-08S,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1959767647,41.0,93.714015485,Stat,ChemistG
1270091,2015-10-14,5.0,UED-LBK-1014-0063,11/18/2015,,,A02670-10Y,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistG
1270093,2015-10-14,5.0,UED-LBK-1012-0090,01/05/2016,,,Y06362-13T,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1803206791,43.0,93.767892245,Stat,ChemistG
1271379,2015-10-16,5.0,UED-LBK-1014-0063,11/18/2015,,,A02670-10Y,,UED-LBK-896-0086,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.110785647,42.0,93.854056284,Stat,ChemistG
1274587,2015-10-22,5.0,0-026,11/13/2015,,,Y04682-13W,,5-005,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,184.0,,LIN,ChemistK
1276192,2015-10-26,5.0,UED-LBK-1012-0089,01/05/2016,,,Y02826-08S,,UED-LBK-2342-0039,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1256610647,41.0,93.437527732,Stat,ChemistO
1277155,2015-10-27,4.9,UED-LBK-1014-0063,11/18/2015,,,A02670-10Y,,UED-LBK-896-0088,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.072702801,28.0,93.83103053,Stat,ChemistL
1279786,2015-11-10,5.0,3-019,02/04/2016,,,Y04797-13W,,3-015,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1775,362.0,93.807,LIN,ChemistK
1285740,2015-11-10,5.0,3-019,02/04/2016,,,Y04797-13W,,3-015,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.218,362.0,93.8365,LIN,ChemistK
1293067,2015-11-18,4.9,UED-LBK-1014-0156,02/17/2016,,,A02670-10Y,,UED-LBK-896-0110,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2637027998,39.0,93.61291109700001,Stat,ChemistB
1294346,2015-11-20,5.2,UED-LBK-1014-0156,02/17/2016,,,A02670-10Y,,UED-LBK-896-110,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2746484863,39.0,93.554734975,Stat,ChemistB
1298722,2015-12-02,5.0,3-019,02/04/2016,,,YY04797-W13-C,,3-015,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.3635,361.0,93.192,LIN,ChemistK
1309923,2015-12-14,4.9,UED-LBK-1014-0156,02/17/2016,,,A02670-10Y,,UED-LBK-2342-0071,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1756104698,29.0,93.79300313700001,Stat,ChemistG
1323337,2016-01-05,5.0,3-019,02/04/2016,,,Y04797-W13-C,,5-065,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.143,184.0,94.104,LIN,ChemistK
1323588,2016-01-06,5.0,UED-LBK-1012-0166,04/04/2016,,,A02670-10Y,,UED-LBK-896-0155,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1252617922,41.0,93.887907506,Stat,ChemistL
1323630,2016-01-06,5.0,UED-LBK-1012-0166,04/04/2016,,,A02670-10Y,,UED-LBK-896-0155,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,41.0,,Stat,ChemistL
1331141,2016-01-15,5.0,UED-LBK-1012-0166,04/04/2016,,,A02670-10Y,,UED-LBK-896-0180,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2612810639,41.0,93.63289624299999,Stat,ChemistG
1332022,2016-01-19,5.0,3-019,02/04/2016,,,Y04797 13W,,9-024,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0655,437.0,94.1965,LIN,ChemistM
1339983,2016-01-27,5.0,UED-LBK-1012-0166,04/04/2016,,,A02670-10Y,,UED-LBK-1012-0141,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1161557921000003,41.0,93.770492655,Stat,ChemistE
1350445,2016-02-04,5.0,UED-LBK-1012-0170,04/06/2016,,,A02670-10Y,,UED-LBK-896-0180,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.129470054,42.0,93.679286992,Stat,ChemistG
1351732,2016-02-08,5.0,UED-LBK-1012-0170,04/06/2016,,,W02769-14T,,UED-LBK-896-0180,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistG
1351733,2016-02-08,5.0,UED-LBK-1012-0170,04/06/2016,,,W02769-14T,,UED-LBK-896-0180,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistG
1355666,2016-02-16,5.0,UED-LBK-1012-0170,04/06/2016,,,W02769-14T,,UED-LBK-896-0180,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1474987649,42.0,94.197812169,Stat,ChemistG
1363047,2016-02-25,5.0,3-076,05/23/2016,,,Y04797-13W,,5-065,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2575,184.0,93.5975,LIN,ChemistH
1368824,2016-03-04,5.0,UED-LBK-2342-0141,06/04/2016,,,W02769-14T,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1312484295,42.0,94.04832924200001,Stat,ChemistE
1369252,2016-03-07,5.0,UED-LBK-2342-0141,06/04/2016,,,W02769-14T,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.0868573457,42.0,94.11151680200001,Stat,ChemistE
1369714,2016-03-08,5.0,UED-LBK-2342-0141,06/04/2016,,,A02670-10Y,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistE
1372001,2016-03-09,5.0,UED-LBK-2342-0141,06/04/2016,,,A02670-10Y,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1290746818,42.0,93.64765054200001,Stat,ChemistE
1374345,2016-03-15,5.0,3-076,05/23/2016,,,Y04797 13W,,5-065,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.2065,184.0,93.9555,LIN,ChemistK
1381553,2016-03-24,5.0,UED-LBK-4337-0026,06/15/2016,,,W02769-14T,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1498984211,42.0,94.046202695,Stat,ChemistG
1382351,2016-03-28,5.0,UED-LBK-1012-0170,04/06/2016,,,A03826-02A,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistG
1385506,2016-03-30,4.9,UED-LBK-4338-0040,04/30/2016,,,W02769-14T,,UED-LBK-4338-0032,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1849511177000003,29.0,93.76350551700001,Stat,ChemistE
1385887,2016-03-31,5.0,UED-LBK-2343-0173,06/30/2016,,,A06791-11A,,UED-LBK-2342-0130,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,,42.0,,Stat,ChemistG
1387081,2016-04-06,5.0,3-076,05/23/2016,,,Y04797- 13W,,3-097,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1255,184.0,93.6975,LIN,ChemistH
1390206,2016-04-08,5.0,3-076,05/23/2016,,,Y04797-13W,,3-097,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.094,184.0,93.8935,LIN,ChemistH
1393920,2016-04-13,4.9,UED-LBK-2343-0173,06/30/2016,,,A06791-11A,,UED-LBK-4338-0050,13-028-0104,1.0,07/01/2017,3-039-0106,13.0,2.1957079358,29.0,94.001711895,Stat,ChemistE
1394132,2016-04-14,5.0,3-076,05/23/2016,,,04797-13W,,3-097,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.9765,184.0,93.952,LIN,ChemistH
1397861,2016-04-20,5.0,UED-LBK-4338-0040,06/30/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.2228140827,42.0,93.644747559,Stat,ChemistG
1397990,2016-04-21,5.0,3-076,05/23/2016,,,Y13097 13W,,3-097,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.872,184.0,94.0045,LIN,ChemistM
1407619,2016-05-10,4.9,UED-LBK-2342-0173,08/10/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1045149566,37.0,94.071066005,Stat,ChemistL
1410278,2016-05-11,4.9,UED-LBK-2342-0173,08/10/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1079698175,37.0,93.93777932799999,Stat,ChemistL
1410406,2016-05-12,5.0,1-040,08/04/2016,,,Y04813-13W,,1-042,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1675,184.0,93.8105,LIN,ChemistH
1413937,2016-05-18,5.0,UED-LBK-4339-0053,06/30/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1248531256,42.0,93.819768735,Stat,ChemistE
1418411,2016-05-25,4.9,UED-LBK-4339-0053,06/30/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1456793924,29.0,93.78585869,Stat,ChemistE
1423068,2016-06-03,5.0,1-040,08/04/2016,,,Y04813-W13,,1-55,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.4715,184.0,93.203,LIN,ChemistH
1432281,2016-06-20,5.0,UED-LBK-4339-0073,09/14/2016,,,A06791-11A,,UED-LBK-4337-0050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,,42.0,,Stat,ChemistQ
1432863,2016-06-21,5.0,UED-LBK-4339-0073,09/14/2016,,,A06791-11A,,UED-LBK-4337-0082,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.033,40.0,94.027,Stat,ChemistQ
1435418,2016-06-22,5.0,UED-LBK-4337-0100,09/22/2016,,,A06791-11A,,UED-LBK-4337-0082,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0473435579,40.0,94.018327339,Stat,ChemistQ
1436611,2016-06-28,5.0,UED-LBK-4337-0100,09/21/2016,,,W02769-14T,,UED-LBK-4337-0082,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0948602257,40.0,93.64195057799999,Stat,ChemistE
1440218,2016-07-05,5.0,8-044,09/30/2016,,,Y04813 13W,,9-094,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.162,184.0,93.559,LIN,ChemistM
1442691,2016-07-06,5.0,8-044,09/30/2016,,,Y04813 13W,,9-094,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.166,184.0,93.4995,LIN,ChemistM
1444914,2016-07-12,5.0,UED-LBK-4338-0134,09/14/2016,,,A06791-11A,,ued-lbk-4337-0082,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0146446322,40.0,94.04292031600001,Stat,ChemistE
1447201,2016-07-14,5.0,8-044,09/30/2016,,,A04771 10A,,8-050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0285,184.0,94.0245,LIN,ChemistM
1451265,2016-07-20,5.0,UED-LBK-5643-0009,10/20/2016,,,W02769-14T,,UED-LBK-4337-0082,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0994292198,40.0,93.722922595,Stat,ChemistE
1457158,2016-08-01,4.9,UED-LBK-5643-0009,10/20/2016,,,W02769-14T,,UED-LBK-4338-0143,13-028-0104,1.0,07/01/2017,3-039-0106,1.0,2.1068206898,29.0,93.976558085,Stat,ChemistE
1469996,2016-08-24,5.0,8-044,09/30/2016,,,A04771 10A,,8-050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.4935,184.0,92.817,LIN,ChemistH
1472929,2016-08-24,5.0,UED-LBK-5643-0048,09/14/2016,,,A06791-11A,,UED-LBK-4338-0158,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,,40.0,,Stat,ChemistB
1474215,2016-08-29,5.0,8-093,11/26/2016,,,A04782-10A,,8-050,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.2305,184.0,93.4125,LIN,ChemistH
1474995,2016-08-30,5.0,UED-LBK-4337-0154,11/30/2016,,,W02769-14T,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,,41.0,,Stat,ChemistB
1477886,2016-09-01,5.0,UED-LBK-4337-0154,11/30/2016,,,B01986-16A,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1477358254,41.0,93.602917724,Stat,ChemistE
1477897,2016-09-01,5.0,UED-LBK-4337-0154,11/30/2016,,,B01986-16A,,UED-LBK-5642-0035, Batch Note,1.0,07/01/2017,3-039-0106,14.0,2.0188338079,41.0,94.73514794399999,Stat,ChemistE
1483438,2016-09-13,5.0,UED-LBK-4337-0168,12/09/2016,,,B01986-16A,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.8955419574,41.0,94.617682435,Stat,ChemistE
1484307,2016-09-14,5.0,3-029,12/09/2016,,,A04782-10A,,2-009,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.065,184.0,94.341,LIN,ChemistH
1485740,2016-09-14,5.0,UED-LBK-4337-0168,12/09/2016,,,B01986-16A,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.9018167047,41.0,94.508893574,Stat,ChemistE
1491936,2016-09-26,5.0,UED-LBK-4337-0186,12/26/2016,,,B01322-16A,,UED-LBK-4338-0158,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.9496371548,40.0,94.75122764700001,Stat,ChemistE
1494734,2016-09-28,5.0,UED-LBK-4337-0186,12/26/2016,,,B01322-16A,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0956877882,41.0,94.288772668,Stat,ChemistE
1505912,2016-10-17,5.0,UED-LBK-6511-0007,01/14/2017,,,70R2-00145B,,UED-LBK-4337-0167,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.5383053473,43.0,93.638320882,Stat,ChemistE
1506173,2016-10-18,5.0,UED-LBK-6511-0007,01/14/2017,,,702R00145B,,UED-LBK-4337-0167,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.1721456884,43.0,94.22794313799999,Stat,ChemistE
1506182,2016-10-18,5.0,UED-LBK-6511-0008,01/14/2017,,,B01986-16A,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.0431328643,41.0,94.190111989,Stat,ChemistE
1513372,2016-10-27,5.0,3-041,12/16/2016,,,Y04684-10a,,7-031,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.345,183.0,95.93,LIN,ChemistN
1514106,2016-10-28,5.0,3-041,12/16/2016,,,Y04684-13W,,7-030,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.9765,183.0,93.703,LIN,ChemistN
1514269,2016-10-28,5.0,UED-LBK-6512-0003,01/27/2017,,,702R00145B,,UED-LBK-5642-0035,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.2307786062,41.0,93.880279989,Stat,ChemistB
1514786,2016-10-31,5.0,UED-LBK-4339-0183,01/31/2017,,,B01986-16A,,UED-LBK-4339-0153,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,1.9712532922,43.0,94.128614195,Stat,ChemistL
1517165,2016-11-02,5.0,3-090,01/14/2017,,,Y04684-13W,,7-044,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,,183.0,,LIN,ChemistN
1517220,2016-11-02,5.0,UED-LBK-4339-0183,01/31/2017,,,02B-00255B,,UED-LBK-4339-0153,13-028-0104,1.0,07/01/2017,3-039-0106,14.0,2.5035061612,43.0,93.950107852,Stat,ChemistB
